id;name;image;search;twitter;twitter2;instagram
1;Alberto Rodríguez;alberto-rodriguez.jpg;albertorodriguez;https://twitter.com/777albertor;;
2;Carlos Vermut;carlos-vermut.jpg;CarlosVermut;https://twitter.com/magicalgirlfilm;;
3;Daniel Monzón;daniel-monzon.jpg;DanielMonzon;https://twitter.com/elnino_pelicula;;
4;Damián Szifrón;damian-szifron.jpg;;https://twitter.com/DamianSzifron;;
5;Carlos Marques-Marcet;carlos-marques-marcet;;;;
6;Beatriz Sanchís;beatriz-sanchis.jpg;;https://twitter.com/beatriz_sanchis;;
7;Juanfer Andrés y Esteban Roel;juanfer-esteban.jpg;;https://twitter.com/juanferandres ;https://twitter.com/estebanroel;
8;Curro Sánchez Varela;curro-sanchez-varela.jpg;;;;
9;Javier Gutiérrez;javier-gutierrez;;https://twitter.com/javiergutialva;;
10;Raúl Arévalo;raul-arevalo.jpg;Raúl Arévalo;https://twitter.com/RaulArevaloZ;;
11;Luis Bermejo;luis-bermejo;;https://twitter.com/bermejoluis;;
12;Ricardo Darín;ricardo-darin;Rdarin;https://twitter.com/RicardoDarinOk;;
13;José Sacristán;jose-sacristan.jpg;;;;
14;Eduard Fernández;eduard-fernandez.jpg;;;;
15;Karra Elejalde;karra-elejalde.jpg;;;;
16;Antonio de la Torre;antonio-delatorre.jpg;;https://twitter.com/atorrem;;
17;Jesús Castro;jesus-castro.jpg;;https://twitter.com/jesus_castro_5;;http://instagram.com/jesuscastroactor
18;David Verdaguer;david-verdaguer.jpg;;https://twitter.com/DavidVerdaguer;;
19;Dani Rovira;dani-rovira.jpg;Daniel Rovira;https://twitter.com/DANIROVIRA;;http://instagram.com/danirovira
20;Israel Elejalde;israel-elejalde.jpg;Isra Elejalde;https://twitter.com/IsraelElejalde;;
21;Bárbara Lennie;barbara-lennie.jpg;Bárbara Lenie, Bárbara Leni, Bárbara Lenni;https://twitter.com/barbara_lennie;;
22;Elena Anaya;elena-anaya.jpg;Elena Analla;;;
23;Macarena Gómez;macarena-gomez.jpg;;https://twitter.com/GmezMacarena;;http://instagram.com/macamaki/
24;María León;maria-leon.jpg;;https://twitter.com/laleonademaria;;http://instagram.com/marialeonbarrios/
25;Bárbara Lennie;barbara-lennie.jpg;Bárbara Lenie, Bárbara Leni, Bárbara Lenni;https://twitter.com/barbara_lennie;;
26;Goya Toledo;goya-toledo.jpg;;https://twitter.com/GOYATOLEDO;;http://instagram.com/goyatoledo/
27;Carmen Machi;carmen-machi.jpg;;;;
28;Mercedes León;mercedes-leon.jpg;;https://twitter.com/merlegalg;;
29;Nerea Barros;nerea-barros.jpg;;https://twitter.com/BarrosNerea;;http://instagram.com/nereabarrosn/
30;Natalia Tena;natalia-tena.jpg;;https://twitter.com/NatTenaLady;;
31;Yolanda Ramos;yolanda-ramos.jpg;;;;
32;Ingrid García Jonsson;ingrid-garcia-jonsson.jpg;Ingrid García, Ingrid Garcia Johnson, Ingrid García Johnson, Ingrid Garcia Jonsson;https://twitter.com/giajons;;http://instagram.com/giajons/
33;India Martínez;india-martinez.jpg;India Martinez;https://twitter.com/indiamartinez;;http://instagram.com/india_martinez_oficial
34;David Demaría;david-demaria.jpg;David De María, David de Maria;https://twitter.com/ddmoficial;;
35;Leire Martínez;leire-martinez.jpg;Leyre Martinez, Leire Martin;https://twitter.com/LeireMo;;
36;Luis Ivars;Luis_Ivars.jpg;;;;
37;Macaco;macaco.jpg;Dani Macaco, Dani Carbonell, Mono Loco;https://twitter.com/macacomusic;;
38;Antonio Banderas;antonio-banderas.jpg;Banderas;;;
39;Dani Rovira;;;;;
40;Michelle Jenner;michelle-jenner.jpg;Michelle Jenner, MichelleJWeb;https://twitter.com/MichelleJWeb;;http://instagram.com/jennermichelle
41;Hugo Silva;hugo-silva.jpg;Hugo Silva, rastacai;https://twitter.com/rastacai;;http://instagram.com/rastacai/
42;Blanca Suárez;blanca-suarez.jpg;Blanca Suárez, blancasuarezweb;https://twitter.com/blancasuarezweb;;http://instagram.com/blanca_suarez
43;Miguel Ángel Muñoz;miguel-angel_munoz.jpg;Miguel Ángel Muñoz, miguelamunoz;https://twitter.com/miguelamunoz;;http://instagram.com/miguelamunoz
44;Alex Gonzalez;alex-gonzalez.jpg;Alex Gonzalez, alexgonzalezact;https://twitter.com/alexgonzalezact;;http://instagram.com/alexgonzalezact
45;Miriam Giovanelli;miriam-giovanelli.jpg;Miriam Giovanelli, Miri_giovanelli;https://twitter.com/Miri_giovanelli;;
46;Alex O’Dogherty;alex-odogherty.jpg;Alex O’Dogherty, AlexODogherty;https://twitter.com/AlexODogherty;;http://instagram.com/AlexODogherty
47;Marta Etura;marta-etura.jpg;Marta Etura;;;
48;Judith Colell;;Judith Colell, ColellJudith;https://twitter.com/ColellJudith;;
49;Secun de la Rosa;secun-delarosa.jpg;Secun de la Rosa, secundelarosa;https://twitter.com/secundelarosa;;
50;Adrian Lastra;adrian-lastra.jpg;Adrian Lastra, Adrian_Lastra;https://twitter.com/Adrian_Lastra;;http://instagram.com/Adrian_Lastra
51;Dafne Fernández;dafne-fernandez.jpg;Dafne Fernández, dafnefdez;https://twitter.com/dafnefdez;;http://instagram.com/dafnefernandez
52;Fernando Tejero;fernando-tejero.jpg;Fernando Tejero, fertejerom;https://twitter.com/fertejerom;;
53;Lucía Jiménez;lucia-jimenez.jpg;Lucía Jiménez;;;
54;Carolina Bang;carolina-bang.jpg;Carolina Bang, acapipola;https://twitter.com/acapipola;;http://instagram.com/carolinabang
55;Macarena García;macarena-garcia.jpg;Macarena García, macarenagarcia0;https://twitter.com/macarenagarcia0;;http://instagram.com/macarena_garcia_
56;Manuela Velasco;manuela-velasco.jpg;Manuela Velasco;;;http://instagram.com/manuelavelascooficial
57;Julián López;julian-lopez.jpg;Julián López, JulianLopez_;https://twitter.com/JulianLopez_;;http://instagram.com/julian_lopez
58;Antonio Resines;antonio-resines.jpg;Antonio Resines. antonioresines;https://twitter.com/antonioresines;;
59;Silvia Abascal;silvia_abascal.jpg;Silvia Abascal;;;
60;Ernesto Alterio;ernesto-alterio.jpg;Ernesto Alterio;;;
61;Verónica Forqué;veronica-forque.jpg;Verónica Forqué, veronicaforque;https://twitter.com/veronicaforque;;
62;Eduardo Noriega;eduardo-noriega.jpg;Eduardo Noriega, Norihouse;https://twitter.com/Norihouse;;
63;Assumpta Serna;assumpta-serna.jpg;Assumpta Serna, assumptaserna;https://twitter.com/assumptaserna;;
64;Celia Freijeiro;celia-freijeiro.jpg;Celia Freijeiro, CeliaFreijeiro;https://twitter.com/CeliaFreijeiro;;
65;Carlos Santos;carlos-santos.jpg;Carlos Santos, carlos_santos_r;https://twitter.com/carlos_santos_r;;http://instagram.com/carlossantosr
66;Carmen Ruiz;carmen-ruiz.jpg;Carmen Ruiz, _CarmenRuiz;https://twitter.com/_CarmenRuiz;;http://instagram.com/carmenruiz
67;Nacho Vigalondo;nacho-vigalondo.jpg;Nacho Vigalondo, vigalondo;https://twitter.com/vigalondo;;
68;Concha Velasco;concha-velasco.jpg;Concha Velasco;;;
